"Rep","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
11,225,468,657,650,0,109,491,983,308,109,141,695,501,622,41,250,89,1021,598,42,139,250,1009,395,207,82,539,957,394,28,29,388,1196,260,127,-0.000945191531820295,0.0202460926258334,-0.00676710333722413,-0.00517626105585587,0.0167468819279955,0.0213709237698953,0.0198737276199576,0.0183811923961354,0.0412803738700776,0.0101155977989811,0.00893016488172802,-0.0314392004374109,0.0235770224603405,0.0209624127304592,0.0157215875580091,0.0249807011602974
12,235,518,590,657,0,69,737,410,777,7,76,329,773,724,98,215,461,675,590,59,212,690,672,82,344,249,149,1011,529,62,263,88,1163,285,201,0.00158102715538706,0.0226036177535248,0.00603412828418659,-0.00456513413443672,0.00156885334283033,0.0235319734234555,0.0205808876720002,0.0236058309854458,0.034104801062902,0.0286524828974025,-0.0129328805349138,-0.00924645502061526,0.0279585966672303,0.0262448738638913,0.0196015352761974,0.022256833427667
13,255,466,627,652,0,113,473,677,724,13,36,487,919,444,114,323,422,931,231,93,45,650,81,1138,86,232,339,696,566,167,45,864,734,114,243,-0.00174110649257305,0.0287902466497988,-0.00113471176288156,-0.014464471433693,0.0147416731723789,0.0281124574390387,0.031019920899285,0.0271013194900661,0.0429106423593984,0.0243922104763226,-0.00503450567213136,-0.0282736265098993,0.0400236391167931,0.0304404908088015,0.0232123682887992,0.0319442800194423
14,247,437,655,661,0,73,724,839,281,83,239,401,782,498,80,85,784,235,557,339,67,483,473,914,63,41,752,936,0,271,132,478,1095,148,147,-0.00275328692419365,0.0202209370502216,-0.00445600293505223,-0.00669669887905839,0.00670024725133579,0.0186366422820061,0.020465511070806,0.0231733302520112,0.0274385506280715,0.0231669354717443,-0.0119052542054019,-0.0165175393415005,0.0172296331478908,0.0173522484877404,0.0208992781332563,0.0220507111801556
15,257,414,656,673,0,170,168,715,947,0,126,467,731,676,0,195,202,1205,181,217,43,861,336,646,114,332,278,894,469,27,213,330,1041,312,104,-0.00326225824426658,0.0250028402004871,-0.00529023890359804,-0.0065597573970123,0.00554415886693158,0.0251799047219608,0.0251455251051384,0.0244399732586389,0.054496310392834,0.0350158982503625,-0.0150061147566803,-0.0280150415564831,0.030829772170931,0.028137392853963,0.02249926061118,0.0245780561261138
16,240,464,608,688,0,65,395,1064,473,3,65,784,225,839,87,24,516,687,486,287,123,528,407,801,141,152,874,456,509,9,242,339,543,829,47,-0.000595120458066783,0.0216386898639555,-0.00299767958267234,-0.00921471564381568,0.0154789701535466,0.0199812621895582,0.0232289496703048,0.0228025203226105,0.0282987733009196,0.0296455237215682,-0.0103093428443007,-0.0163262394849922,0.0192662598877501,0.0204350668844146,0.0252864955421285,0.0184054686238776
17,264,485,593,658,0,4,573,840,545,38,166,725,628,100,381,329,1,833,673,164,330,296,918,317,139,17,533,682,671,97,144,487,1079,215,75,0.00532789044110589,0.0251776644746798,-0.00441067120058693,0.00992597726175796,0.0188634190966759,0.0253215569399135,0.0259517419836315,0.023708824338395,0.0731117675580591,0.0124756047710858,0.0192715978469891,-0.0329446134716594,0.0307256779399448,0.0230386590172382,0.0230579401542438,0.0283598381819325
18,231,470,638,661,0,28,483,830,481,178,200,595,470,722,13,247,0,1008,618,127,77,544,928,178,273,6,519,1046,337,92,169,385,571,476,399,-0.0017488524243926,0.0202403429000536,-0.00478222355781887,-0.00816391693385793,0.0124537006814002,0.0204245198343927,0.0206786323923814,0.0193136094290514,0.0441834064981517,0.0201072009028686,-0.00373586416435927,-0.0257895304260677,0.0335599075292277,0.0246535734475423,0.0155624189641296,0.019923250452457
19,228,487,569,716,0,81,451,1289,8,171,204,382,844,447,123,100,405,735,643,117,153,424,1035,235,153,273,516,486,416,309,123,414,1003,388,72,0.00143160911329031,0.0238635908148041,0.0025624745249424,-0.000458904314205612,0.0014642087230153,0.0219301213558368,0.0254031960948939,0.0260788637171804,0.0394466827470452,0.0471401694304096,-0.0133562559759677,-0.0206442329588033,0.0239589972943974,0.0304848631463153,0.0237142774740568,0.0194892869476219
20,267,461,607,665,0,92,288,1370,133,117,57,408,473,1017,45,202,206,736,756,100,130,452,919,395,104,145,555,919,0,381,85,514,733,518,150,0.00523296931567608,0.0223784881034477,0.000377821951990421,0.00679480811254562,0.0128034290629184,0.021978677872565,0.02403919789258,0.0210147565255912,0.0554567062330665,0.0220138481713037,0.00892319273208444,-0.0256817822815666,0.0255660414759739,0.024871354663659,0.0175800224892646,0.0255429511152923
