"Rep","Stage1_1","Stage1_2","Stage1_3","Stage1_4","Stage1_5","Stage2_1","Stage2_2","Stage2_3","Stage2_4","Stage2_5","Stage3_1","Stage3_2","Stage3_3","Stage3_4","Stage3_5","Stage4_1","Stage4_2","Stage4_3","Stage4_4","Stage4_5","Stage5_1","Stage5_2","Stage5_3","Stage5_4","Stage5_5","Stage6_1","Stage6_2","Stage6_3","Stage6_4","Stage6_5","Stage7_1","Stage7_2","Stage7_3","Stage7_4","Stage7_5","Marg_Bias","Marg_MSE","StartCor_Bias","StartLow_Bias","StartHigh_Bias","StartCor_MSE","StartLow_MSE","StartHigh_MSE","TStart1_Bias","TStart2_Bias","TStart3_Bias","TStart4_Bias","TStart1_MSE","TStart2_MSE","TStart3_MSE","TStart4_MSE"
49,267,474,623,636,0,116,359,828,656,41,40,231,1391,62,276,54,598,910,284,154,198,337,686,724,55,45,727,835,341,52,141,342,937,466,114,-0.0025301770582945,0.0201838017380223,-0.0136225061823699,0.00439876168615116,0.0097188660834709,0.0192198846109582,0.0208464050418206,0.0211625753974863,0.0320267218807952,0.0170518485284097,-0.00166089790159003,-0.0282733798394553,0.0261476766218662,0.0181023334429205,0.0203586660167165,0.0204979088894423
50,260,451,640,649,0,3,488,781,608,120,77,607,496,529,291,8,428,1061,272,231,178,201,848,574,199,117,495,824,387,177,119,273,1275,132,201,-0.00122872502354199,0.0182189142801922,-0.00287442375507205,-0.00541760780657776,0.00732611333470975,0.0184122601285711,0.0188493665753024,0.0170351337388704,0.036255591238461,0.00667078005477849,-0.000208620586062279,-0.017735497035213,0.0228962507269261,0.0192422245830725,0.0148378321833265,0.0204981583245026
51,244,466,633,657,0,57,486,670,696,91,127,945,50,783,95,100,789,654,259,198,255,358,829,554,4,230,875,578,242,75,120,312,813,661,94,-0.00234892448433062,0.0184932861352734,-0.0066617294044301,-0.00419963784518868,0.0089789077078672,0.0187565063544996,0.0193642422762485,0.0167420604673365,0.00702330066264854,0.020676401814028,0.00236137971087378,-0.0280827758336726,0.0248396406763904,0.0159205898734165,0.0156948081144158,0.0227057165149663
52,255,447,641,657,0,27,537,1324,0,112,71,641,915,285,88,109,593,265,953,80,237,144,1018,432,169,194,547,349,858,52,215,366,1035,0,384,0.000585920655006882,0.0228853753921246,-0.00187780806700628,0.00291493002262535,0.00234569540211597,0.0232623957458971,0.0259192524276889,0.018326913790342,0.0226169744970611,0.0285024769705371,-0.00221498237590056,-0.0240973940673224,0.0192158597824596,0.0230693251278076,0.0204767874369071,0.0266851277709041
53,243,475,647,635,0,64,631,916,316,73,31,825,628,334,182,240,398,623,660,79,158,340,1124,197,181,124,266,1021,316,273,114,832,599,314,141,-0.00241212793166789,0.0220469545481342,-0.012128151593289,0.00649161208023008,0.00491493092930757,0.0216158422165303,0.0218568108642728,0.0231498336980419,0.0338464363427125,0.0161678432656007,0.00667523795525141,-0.0384318287954871,0.0393072791972459,0.0226159580863613,0.019060181259436,0.0216566528082718
54,242,437,644,677,0,98,471,975,371,85,57,154,922,639,228,145,361,1167,147,180,251,167,1368,70,144,381,240,862,469,48,40,853,134,897,76,0.000977702623329331,0.0212867878072437,-0.00166021517286261,-0.0115512776667026,0.0219403914377869,0.020823674847473,0.0201803577286162,0.0235535089080059,0.0735117367888981,0.0166759398010139,-0.00824434577876824,-0.0142942853562853,0.0394055999261462,0.0228869892724885,0.0170652382191286,0.0215255446956495
55,260,460,602,678,0,5,493,1269,52,181,168,554,732,373,173,125,288,860,606,121,106,457,768,603,66,195,475,958,251,121,341,0,1225,242,192,0.00528340094798127,0.0242962769682585,-0.00270347511549328,-0.000264828181995966,0.0267890760610842,0.0234713732121448,0.0251482064440795,0.0248178834998726,0.077168019526231,0.0227507588936718,0.0104701209354552,-0.0348366686104517,0.0345654356727951,0.024342100254283,0.0228119141011975,0.0235562895072376
56,276,469,626,629,0,42,541,1142,175,100,169,775,558,374,124,198,247,1301,0,254,299,71,1016,520,94,163,615,540,599,83,203,292,1037,445,23,0.00041910193607115,0.0189253542279785,-0.00526409895970697,0.0015968859623193,0.0107397633090544,0.0193046203423775,0.0197470688879631,0.0169545298312079,0.0238704421430687,-0.00417560078671195,0.0184694781649508,-0.0269709234894877,0.0168513322388787,0.0151604342005189,0.0176252390471129,0.0244811639585572
57,265,467,626,642,0,39,593,626,668,74,230,564,535,445,226,74,549,1073,143,161,123,445,687,578,167,122,705,594,509,70,227,555,567,550,101,0.00511298251026552,0.0242207179250684,-0.00181839689935792,0.00324185385746197,0.0211667504688787,0.0227754113678695,0.024085983524454,0.0272138017618676,0.0381112381543685,0.0362955909873811,-0.00639515424839114,-0.0135476049969475,0.0280581735353883,0.0290199794899146,0.0243605149744436,0.0192291173987342
58,243,496,626,635,0,86,606,790,344,174,83,602,960,100,255,25,686,926,282,81,87,381,905,579,48,171,772,0,944,113,184,611,683,291,231,0.000761464099738163,0.0234189764085469,-0.00103863430003734,-0.00683418250810899,0.0143864448448072,0.0227477435117281,0.0247371049710651,0.0228131834118,0.0677417837865821,0.0176525560374238,-0.0079355651791791,-0.0175537233939903,0.0331931710283019,0.0214162311862497,0.0204378163333665,0.0265591994216727
59,235,480,610,675,0,109,454,903,511,23,146,369,958,416,111,147,219,1130,406,98,56,959,29,858,98,78,569,701,478,174,170,570,619,469,172,0.00425159940758621,0.02179851627796,0.00209747625498093,-0.000755684352573393,0.0150924364264404,0.0212069950004708,0.0205979405792667,0.0245449588824006,0.0358688545712982,0.0171895977076299,-0.000931578184701176,-0.00595816447043267,0.0271361525840717,0.0223572752837867,0.0223224901268196,0.0195417668011716
60,246,478,643,633,0,93,627,806,387,87,68,795,366,684,87,160,567,681,548,44,56,606,665,538,135,100,524,934,239,203,49,440,1001,430,80,0.000474562201037995,0.0222017005795378,-0.000386319170329396,-0.00891163823490781,0.0149022712656836,0.0210873904306951,0.022461439684412,0.0241312454986142,0.0813459252648919,0.0390153940768253,-0.0223684131489594,-0.0195961696849267,0.0338127789583613,0.0291902361976734,0.0185322602835722,0.0186116992670127
61,246,453,598,703,0,68,868,471,580,13,98,244,1345,10,303,322,524,623,291,240,212,438,1097,0,253,269,542,913,150,126,92,639,911,119,239,-0.00068289654313741,0.0204941148754015,-0.00182138705721748,-0.00152833093307163,0.00263019631920758,0.0221051293043182,0.0195980602591484,0.0184657491544631,0.0295327215547965,0.0186102892671446,0.00351146851423179,-0.0269752004196325,0.022333630743052,0.0137869458744389,0.0198594672983373,0.0260536687619765
62,244,465,644,647,0,109,472,928,311,180,66,458,963,445,68,92,313,752,657,186,156,509,884,308,143,60,745,581,342,272,35,599,451,829,86,-0.00102515670575666,0.0219729423107135,9.08802459149916e-05,-0.0142069841652015,0.0152565443949345,0.0221045932085372,0.0224288007066615,0.0210520972955051,0.0511864967522755,0.0248807304629277,-0.00566721129530582,-0.0267063170852612,0.0234511608515487,0.0194020754339581,0.0211114019118823,0.0246330540691327
63,271,444,645,640,0,131,625,892,259,93,305,475,446,684,90,217,785,41,823,134,316,574,762,286,62,262,871,82,662,123,223,380,956,246,195,0.00170701121741603,0.0188454546157965,-0.00359662861771773,0.00459997541422657,0.00778078421682885,0.0183896437384049,0.019895516161426,0.0183055984206563,0.0119176175590949,0.025446641062588,0.00538351233890856,-0.0249869892020056,0.0171249147233819,0.017568742935883,0.0177805664446473,0.0217961750595351
64,246,467,594,693,0,7,554,1083,77,279,155,386,881,476,102,207,223,1247,120,203,311,0,1020,584,85,148,497,556,624,175,214,567,480,577,162,0.00176798891357919,0.0244969236013573,-0.000818910228846609,-0.00196528433685667,0.0122829812185054,0.0232979656800281,0.0255890718060754,0.0255462121625007,0.066475491767399,0.0297712498036776,-0.00706747915855704,-0.0218445882553898,0.0284674998368661,0.0318788552048508,0.0233197680926958,0.0192408554533791
65,247,430,642,681,0,88,580,954,240,138,144,765,303,712,76,76,859,734,223,108,178,478,488,674,182,337,173,822,555,113,194,785,206,628,187,-0.000694852665584726,0.0191805143068531,-0.00536676856596234,-0.00467192251362813,0.0126282606220418,0.0201555752067666,0.0185180933397822,0.0182113056182536,0.0461843720346015,0.0127117525166366,0.00136841871739983,-0.0241082822754438,0.0297916346131096,0.0156320293033877,0.0173067340538843,0.0218808890769463
66,257,446,635,662,0,53,585,779,583,0,158,262,1151,287,142,183,920,632,41,224,133,545,892,215,215,134,455,860,363,188,72,666,873,300,89,0.000274923663612805,0.0211313271059614,0.00238673302400794,-0.00494902089878864,0.00299662696835038,0.0236949654170813,0.0210445660008345,0.0162854718127425,0.0300805296260993,0.0199443519167129,0.00133451226556036,-0.0235503125849904,0.0335588574227567,0.0163493549526629,0.0153250646739452,0.0294105683850911
67,258,448,654,640,0,74,603,734,538,51,250,366,989,291,104,159,343,955,480,63,199,529,566,598,108,90,518,638,612,142,324,150,1131,274,121,-0.00384418726132707,0.0251457905254743,-0.0161951297559901,0.00595644335884708,0.00666651658555285,0.0256873701676533,0.025532636180246,0.0235984160569197,0.00365309079913186,0.0257170904340018,-0.00690178575037376,-0.0262026984551539,0.026716300554236,0.0222630551180548,0.0256866666651876,0.0265023691886396
68,225,453,604,718,0,29,493,975,503,0,76,810,507,408,199,142,630,835,248,145,240,251,1015,465,29,39,428,1037,336,160,51,274,1055,486,134,-0.00307547033213669,0.0218409589836829,-0.0136888369625814,0.00152304552270366,0.0118787338106418,0.0234665780904337,0.019660126815815,0.0213790905194558,0.029270657394914,0.0229020183294383,0.00720981537667325,-0.0410822597493134,0.0200958406716732,0.0203057831592962,0.0196213144004181,0.0260808209875223
69,253,472,620,655,0,110,480,795,597,18,187,601,729,221,262,65,666,777,129,363,134,347,842,483,194,163,499,672,452,214,166,378,1052,164,240,0.000328478712515643,0.0241229443827519,-0.00410036536368629,0.00419756625860191,0.00347408220464178,0.0243799089640033,0.0256338273136277,0.0215407720579576,0.0576712423335688,0.0166020011543117,-0.00359961493084173,-0.0203025591083472,0.0271531690083631,0.0215508004811152,0.0216435553186178,0.0286477732904876
70,249,483,603,665,0,216,250,818,698,18,206,484,770,441,99,338,46,1040,395,181,43,871,532,376,178,318,253,1004,405,20,338,1,789,703,169,-0.00398140531800034,0.0243671183810628,-0.0104349013304258,-0.00383872452840888,0.00820645682517764,0.0228744772721436,0.0277827730573295,0.0227521492193386,0.0363638803289397,0.0357962679178155,-0.0176238450238942,-0.0280677998037741,0.0249236402385584,0.0252237744189405,0.0257263731831713,0.0216518920589154
71,249,484,610,657,0,34,440,981,538,7,148,384,654,650,164,318,451,579,591,61,73,500,833,551,43,121,409,675,633,162,104,533,699,608,56,0.00101604828547862,0.0190104353832385,-0.0100753031819789,0.00843020158750359,0.0134688465498803,0.0177226026323699,0.0200378062396268,0.020221679207684,0.0272417493031499,0.0382238671466256,-0.00722407343149595,-0.0246734991101295,0.01621342927116,0.0224596760006204,0.0181751420127232,0.0177762672338771
72,240,496,614,650,0,103,655,691,428,123,374,0,904,518,204,85,998,4,752,161,88,439,796,595,82,64,522,808,531,75,202,240,1382,69,107,0.00138238730361155,0.0201688198992651,0.00422680764782627,-0.000298621878105773,-0.00208246514813651,0.0184424320098071,0.022056624506333,0.0211460190034288,0.0404325524620556,0.0226935138718737,-0.00401229195206117,-0.0185997202536258,0.026289431759862,0.0207953537683528,0.0198534451718772,0.0185460231957849
73,249,448,625,678,0,121,515,974,279,111,77,456,824,630,13,106,727,828,311,28,41,567,903,291,198,171,0,1563,87,179,171,718,694,389,28,0.00395006225766764,0.0232389685253163,0.00258811123099902,-0.00438176328252987,0.0178298876858044,0.0234431976410327,0.0250995013118091,0.0203472658321334,0.0404998915343559,0.0163351604580604,0.00272149735471132,-0.0120134588003306,0.036779477388163,0.0214224250161746,0.0169423926898804,0.0290947093875399
74,265,471,580,684,0,54,417,937,581,11,125,341,961,457,116,207,660,711,348,74,81,358,847,655,59,237,675,307,667,114,107,300,889,420,284,-0.000249908633160116,0.0213696886050205,-0.00885454734438837,-0.00135481017696996,0.0175069617813809,0.0202978813301593,0.0222696458513703,0.0222372190148845,0.0350145279948225,0.0216531052012936,-0.00635022909946412,-0.018963966014262,0.0233577623295713,0.0241524938187595,0.0215539714041495,0.0184716567506029
75,240,458,644,658,0,68,338,918,646,30,9,365,1259,134,233,60,445,1077,319,99,59,416,731,590,204,77,259,669,832,163,224,494,1017,136,129,0.00152921573617101,0.026854000776129,-0.00470312895743181,0.00132997897560455,0.0147420643978104,0.0281412451837473,0.0261549610392774,0.0251835911668596,0.0697526736837471,0.0107611901827749,0.00414379704736001,-0.0213982857955717,0.0368647748106624,0.0257514973809354,0.0223369686097588,0.031259535943309
76,223,450,620,707,0,21,470,1301,116,92,129,509,1010,253,99,66,302,898,715,19,284,308,832,523,53,44,368,951,550,87,126,523,619,642,90,-0.00933274984482508,0.0230498394590774,-0.0158563987765588,-0.0141678138707586,0.0100428707728578,0.0210469471523251,0.0247563330021343,0.0248035403530171,0.0369537513461538,0.0229370166748846,-0.0106927072421513,-0.0389197926901601,0.0260523534230896,0.0268764438906001,0.0199499131270841,0.0235153824258924
77,233,466,648,653,0,119,465,1087,321,8,151,255,943,380,271,105,875,707,205,108,118,354,826,618,84,94,740,755,314,97,56,631,838,379,96,0.00431439352792507,0.0176535883542198,-0.00390176454979675,0.0110853238269322,0.0109136052349329,0.0180866261329182,0.017968469743598,0.0164543396687709,0.0461445388009022,0.0120703319137943,0.00985817394537468,-0.0183293408371071,0.0192262330606893,0.0140736785437268,0.0147605179806181,0.0240105604380422
78,248,475,622,655,0,164,209,924,620,83,15,913,129,935,8,211,0,1274,386,129,154,451,842,462,91,195,586,576,522,121,233,63,1286,150,268,0.00592892696086666,0.0243097205676718,0.00337521465829424,0.00365534397544677,0.0147816535090649,0.0237810392915769,0.0247480199800573,0.0247915970466357,0.0318532405255843,0.0307256488766278,0.0142615914546636,-0.0290709761855805,0.0318555438911353,0.0259124345416826,0.0228317163462425,0.0234540521381169
79,256,475,621,648,0,130,659,850,279,82,37,435,1097,246,185,67,209,1114,548,62,117,278,1110,423,72,241,718,264,655,122,89,565,320,909,117,-0.00510151105444578,0.0265453890879278,-0.00833059231095186,-0.00984716890220117,0.00827501221935401,0.0237483392252781,0.0281997100738003,0.0299296096182072,0.0405080654285314,0.00629221681159842,-0.000581006284295273,-0.0294350935391438,0.0266654279307288,0.0298347236426592,0.0275754511422558,0.0224096597415861
80,242,453,618,687,0,103,528,810,500,59,197,668,399,561,175,98,603,419,619,261,105,368,958,550,19,74,498,998,289,141,202,567,529,482,220,0.00269523179810777,0.029007150746892,-0.00303466297478878,0.00190149701728065,0.0150885499387165,0.0285649171918073,0.0302702150828687,0.0282423289483279,0.0580971884039216,0.0391781432977995,0.00122965603511817,-0.034424808093419,0.0401849476478089,0.031197583549425,0.0302745403979464,0.0234058248828953
81,255,418,657,670,0,158,183,1039,620,0,53,555,707,570,115,155,460,501,820,64,115,804,157,775,149,188,213,1000,535,64,400,205,709,548,138,0.00575697558202706,0.027039612965567,0.00125198569591959,0.00456512363288466,0.0161748483670253,0.0248794586508043,0.0283218842103534,0.0297714624507766,0.0535064216582591,0.0394345654059961,-0.00310424186790184,-0.021265678695162,0.0362474433224068,0.0312935123827556,0.0250154473771272,0.0240102752715912
82,229,455,642,674,0,37,690,735,483,55,302,159,981,475,83,124,394,1005,392,85,116,432,1058,147,247,87,701,475,696,41,319,333,603,674,71,-0.000966516593130991,0.0219304877646449,-0.00034989414830337,-0.00979564446949231,0.00858174376253394,0.020020385078855,0.0227279632957136,0.0245640716919687,0.02471839696654,0.0239699323972239,-0.00437019114181595,-0.021831642565376,0.0244211055497538,0.0187853292794313,0.0226637686086662,0.0229284669037562
83,287,475,619,619,0,275,496,1017,66,146,81,300,1159,409,51,83,951,436,253,277,233,477,756,425,109,199,289,765,589,158,150,512,628,551,159,0.00117600681840642,0.025829006172566,-0.00716062798953853,0.0079022087463745,0.0078993469930135,0.0250288082203087,0.0249705358841448,0.0286621176594174,0.0410929438616503,0.010251094784735,0.0125562373647674,-0.0315220769990566,0.0235347241041248,0.023700885763449,0.0274708653643044,0.026168418605821
84,253,453,632,662,0,48,656,817,357,122,105,490,633,540,232,166,390,862,490,92,85,641,816,307,151,92,929,425,425,129,56,973,0,606,365,0.00481006085702258,0.0224375641067876,-0.00135764375383461,0.00668049514208184,0.0135471977932125,0.0218237512359385,0.0224766772986512,0.0235016104235676,0.0545748711611201,0.02311716736511,0.00839086781848488,-0.0249052829465056,0.0239593859912217,0.0178665473226663,0.02259468720587,0.025668126970981
85,248,456,614,682,0,139,157,1377,306,21,145,431,1129,209,86,186,675,905,127,107,55,565,643,564,173,389,0,1162,407,42,283,495,326,848,48,-0.000312282988732054,0.0264940850090827,-0.00208869596934204,0.00387156662325995,-0.00233342956897678,0.0269391478072509,0.0243100142354366,0.0284431079802433,0.035013463062579,0.0199051345401803,-0.00213269911882524,-0.0216966306848067,0.0293315993943893,0.0324804509310497,0.024468180601724,0.023832138038931
86,255,463,661,621,0,72,559,885,325,159,185,429,1073,14,299,98,683,237,967,15,148,614,992,223,23,132,411,1110,189,158,95,536,815,447,107,0.00227617863562222,0.0246323920550257,-0.00316567074570964,0.00136274974140548,0.0139425502113076,0.0253159566404669,0.0241042977273452,0.0240824986187175,0.0370588673185091,0.0390839461699744,-0.0114730127096782,-0.0165152534995228,0.0214103722553265,0.0282269362309585,0.0232354182548549,0.0244023525602233
87,251,445,633,671,0,19,742,616,525,98,173,453,552,742,80,37,294,1044,558,67,170,520,854,206,250,208,665,502,418,207,285,293,605,606,211,-0.000664857116043997,0.0224051971148224,0.00131588578796355,-0.0047131964811472,0.00065126490235196,0.0219019187885726,0.0202711293443384,0.0264884037060916,0.0654671624374592,0.0222751954577551,-0.00977057432795967,-0.0210065058429252,0.0259993193567574,0.0256330721025743,0.0207126363153521,0.0212843335952365
88,247,465,604,684,0,49,744,450,735,22,292,5,1262,391,50,91,463,901,391,154,327,571,457,607,38,75,492,951,351,131,56,591,812,388,153,-0.00352284176556655,0.0199368116359941,-0.00620310599194365,-0.00632562230442591,0.00598495675453793,0.0207080833639974,0.0200365153719626,0.0181755068148827,0.018578376121684,0.021021240957221,-0.0097688740408871,-0.0191815958225107,0.0208974169925722,0.0187399083851571,0.0189684944601316,0.0217613427042188
89,272,429,581,718,0,150,356,893,547,54,96,424,825,592,63,241,534,621,554,50,101,297,560,844,198,44,649,594,380,333,287,494,432,713,74,-0.000463579137668989,0.0219542379431503,-0.00959187123613735,0.000365581798141866,0.0155143068912866,0.0232139330577257,0.021647970240415,0.0199834341507888,0.0325557242252378,0.0288516966215109,0.00146072778439662,-0.0330914166210446,0.0198582765986876,0.0222440222052852,0.0183920683179609,0.0263557578545716
90,261,449,620,670,0,27,681,822,366,104,3,456,808,515,218,96,857,804,22,221,52,1225,248,233,242,158,636,622,532,52,200,477,817,331,175,-0.000285536908320635,0.0206682467778377,-0.00565219782548262,0.00168623028665257,0.00808098587844932,0.0212360143074759,0.0195103492344986,0.0210648637137723,0.0260916483581651,0.0160621656670198,0.0112743775207052,-0.0330452255929832,0.0278268237963768,0.0221136814520067,0.019687549499275,0.0191081829794469
91,263,449,659,629,0,41,619,933,278,129,97,834,431,519,119,176,567,698,521,38,390,121,399,820,270,157,314,1027,467,35,106,708,786,186,214,0.00234221577761735,0.0194517041557923,0.000157268771080558,-0.00412383132995391,0.0157954839523817,0.0206052931031555,0.0187635506487107,0.0180898114726735,0.0367655770840924,0.0155761979727349,0.00944664584037971,-0.0256195078949935,0.0213533937452046,0.0154471192433056,0.0158590383138555,0.0272475006405124
92,233,469,614,684,0,166,673,717,384,60,179,506,602,556,157,206,257,941,406,190,51,827,635,372,115,135,372,798,583,112,59,211,677,1016,37,-0.00408871088979315,0.0237574306493181,-0.00847548103842693,-0.00922793990226374,0.0120852934500902,0.0223939271935538,0.0263759281235058,0.0230664624835043,0.0234435159644846,0.0210969402788586,-0.000948356661603788,-0.0324073919778594,0.019885072886937,0.0237659206939183,0.0236520080835442,0.0246386392410438
93,250,457,647,646,0,232,386,1047,204,131,57,287,1102,466,88,68,742,576,606,8,110,645,761,346,138,156,308,879,592,65,220,959,59,692,70,-0.00155090470160574,0.0232172553810447,-0.00210438730302569,-0.00612695845033164,0.00591573380549955,0.0249462082864714,0.0208932874494337,0.0229090902181801,0.0495836744769864,0.010559774525114,0.00115179316485479,-0.0253198460052569,0.0253178586205771,0.0242128640269046,0.0183189755880703,0.0281247557160428
94,232,458,636,674,0,230,160,1109,452,49,158,321,1127,370,24,190,482,710,586,32,114,702,445,599,140,103,813,0,1006,78,202,0,1166,543,89,0.00261868465516246,0.0297478240078656,-0.0117551946760361,0.00359891270088366,0.0335960392318171,0.0293237632790848,0.0329639721465915,0.0260346164233433,0.0499245975012113,0.0341842534137775,0.0204093649439814,-0.0498445918655542,0.0289094590610723,0.0275895580226281,0.0273472253701284,0.0342853411723992
95,264,479,636,621,0,85,538,815,491,71,50,770,656,428,96,250,263,863,474,150,321,99,1099,383,98,16,753,624,435,172,154,650,882,53,261,0.0044413406412258,0.0253588591912546,0.00462209636847535,-0.0063096069217321,0.018733561784887,0.0243149884196437,0.0264845604172766,0.0259257065568352,0.0596252414188238,0.0228556155592997,0.002995575077746,-0.0236846740310085,0.0341227409772018,0.0210686173436869,0.0240532454192328,0.0284035055571569
96,270,453,610,667,0,16,475,947,481,81,35,425,1065,291,184,252,439,718,249,342,149,263,1175,289,124,138,399,944,373,146,123,590,926,306,55,0.00360713039288682,0.0235285829128665,0.00140725550734646,0.00328403975375963,0.0084949100849862,0.0237986840253292,0.0246727500423227,0.0214088652306846,0.0445044270780441,0.033494983268473,0.00739569737342849,-0.0333921905968639,0.0271430426903106,0.0212187059667735,0.0238551958762238,0.0239876304045398
97,252,470,647,631,0,45,412,1109,285,149,146,705,324,726,99,73,551,972,201,203,175,524,379,668,254,131,302,1236,272,59,20,365,1239,335,41,-0.00160476439744323,0.0190638957575775,0.00130388761100593,-0.0092070503910844,0.0034711195804878,0.017659932779332,0.020975619386741,0.019167383443098,0.0466536723402321,0.0137011934499127,0.00437348993442917,-0.0319771312989536,0.0254610207776132,0.0225319571826396,0.0153639140152418,0.0196437383047555
98,249,488,620,643,0,13,470,842,561,114,48,724,817,26,385,61,494,991,423,31,114,502,633,621,130,156,295,887,193,469,44,407,887,520,142,-0.00312847165501083,0.023383336204926,-0.00954666205850384,-0.00330430237367262,0.00993080796491441,0.0226028677046577,0.0256380051937363,0.0217184389050821,0.048011515082733,0.00870035571648707,-0.00139908085362161,-0.0262683292424357,0.0286565525576925,0.018094872215991,0.0203462112488612,0.030219065477686
99,237,462,631,670,0,76,705,790,384,45,110,193,1052,550,95,68,530,863,449,90,231,450,748,475,96,19,587,650,720,24,157,519,421,808,95,-0.00272474814155621,0.0229426502289505,-0.00479566687721597,-0.00209612387710654,0.000593331294326362,0.0228712558847028,0.0213460422933923,0.025200735119286,0.0538744494307936,0.00268072332461367,-0.004895833895149,-0.015773010477204,0.025946663101264,0.0270915617901621,0.019643672225819,0.0230467920811276
100,235,460,622,683,0,48,725,475,666,86,165,651,532,541,111,112,571,640,561,116,159,464,492,741,144,66,881,163,756,134,62,1042,306,520,70,0.00180373401933731,0.0226784236197059,-0.00940328404226424,0.0148502127626341,0.00621783176646621,0.0214991699718865,0.0223650810290047,0.025303278295868,0.0581523735804795,0.0248226463553049,0.00363622721298757,-0.0296977124748027,0.0270522590119557,0.0229875276481022,0.0215281918566417,0.0229369844432893
