"Period","TimeMin","TimeSec","MinPlayed","MinRemain","Kansas_Score","Kentucky_Score","Line","Kansas","Kentucky","Action"
"H1",20,0,0,40,0,0,-3.97723830232534,0.363242010969953,0.636757989030047,"Jump Ball won by Kentucky"
"H1",19,59,0.0166666666666657,39.9833333333333,0,0,-3.97723830232534,0.363269415159576,0.636730584840424,""
"H1",19,58,0.0333333333333314,39.9666666666667,0,0,-3.97723830232534,0.363296825772523,0.636703174227477,""
"H1",19,57,0.0499999999999972,39.95,0,0,-3.97723830232534,0.363324242812693,0.636675757187307,""
"H1",19,56,0.06666666666667,39.9333333333333,0,0,-3.97723830232534,0.363351666283987,0.636648333716013,""
"H1",19,55,0.0833333333333357,39.9166666666667,0,0,-3.97723830232534,0.363379096190311,0.636620903809689,""
"H1",19,54,0.100000000000001,39.9,0,0,-3.97723830232534,0.363406532535576,0.636593467464424,""
"H1",19,53,0.116666666666667,39.8833333333333,0,0,-3.97723830232534,0.363433975323694,0.636566024676306,""
"H1",19,52,0.133333333333333,39.8666666666667,0,0,-3.97723830232534,0.363461424558584,0.636538575441416,""
"H1",19,51,0.149999999999999,39.85,0,0,-3.97723830232534,0.363488880244167,0.636511119755833,""
"H1",19,50,0.166666666666664,39.8333333333333,0,0,-3.97723830232534,0.363516342384371,0.636483657615629,""
"H1",19,49,0.18333333333333,39.8166666666667,0,0,-3.97723830232534,0.363543810983124,0.636456189016876,""
"H1",19,48,0.200000000000003,39.8,0,0,-3.97723830232534,0.363571286044362,0.636428713955638,""
"H1",19,47,0.216666666666669,39.7833333333333,0,0,-3.97723830232534,0.363598767572022,0.636401232427978,""
"H1",19,46,0.233333333333334,39.7666666666667,0,0,-3.97723830232534,0.363626255570047,0.636373744429953,""
"H1",19,45,0.25,39.75,0,0,-3.97723830232534,0.363653750042383,0.636346249957617,"Josh Jackson Defensive Rebound."
"H1",19,44,0.266666666666666,39.7333333333333,0,0,-3.97723830232534,0.363681250992982,0.636318749007018,""
"H1",19,43,0.283333333333331,39.7166666666667,0,0,-3.97723830232534,0.363708758425797,0.636291241574203,""
"H1",19,42,0.299999999999997,39.7,0,0,-3.97723830232534,0.363736272344788,0.636263727655212,""
"H1",19,41,0.31666666666667,39.6833333333333,0,0,-3.97723830232534,0.363763792753917,0.636236207246083,""
"H1",19,40,0.333333333333336,39.6666666666667,0,0,-3.97723830232534,0.363791319657152,0.636208680342848,""
"H1",19,39,0.350000000000001,39.65,0,0,-3.97723830232534,0.363818853058464,0.636181146941536,""
"H1",19,38,0.366666666666667,39.6333333333333,0,0,-3.97723830232534,0.363846392961829,0.636153607038171,""
"H1",19,37,0.383333333333333,39.6166666666667,0,0,-3.97723830232534,0.363873939371225,0.636126060628775,""
"H1",19,36,0.399999999999999,39.6,0,0,-3.97723830232534,0.363901492290636,0.636098507709364,""
"H1",19,35,0.416666666666664,39.5833333333333,0,0,-3.97723830232534,0.363929051724052,0.636070948275948,""
"H1",19,34,0.43333333333333,39.5666666666667,0,0,-3.97723830232534,0.363956617675462,0.636043382324538,""
"H1",19,33,0.450000000000003,39.55,0,0,-3.97723830232534,0.363984190148865,0.636015809851135,""
"H1",19,32,0.466666666666669,39.5333333333333,0,0,-3.97723830232534,0.364011769148259,0.635988230851741,""
"H1",19,31,0.483333333333334,39.5166666666667,0,0,-3.97723830232534,0.36403935467765,0.63596064532235,""
"H1",19,30,0.5,39.5,0,0,-3.97723830232534,0.364066946741046,0.635933053258954,""
"H1",19,29,0.516666666666666,39.4833333333333,0,0,-3.97723830232534,0.364094545342461,0.635905454657539,""
"H1",19,28,0.533333333333331,39.4666666666667,0,0,-3.97723830232534,0.36412215048591,0.63587784951409,""
"H1",19,27,0.549999999999997,39.45,0,0,-3.97723830232534,0.364149762175417,0.635850237824583,""
"H1",19,26,0.56666666666667,39.4333333333333,0,0,-3.97723830232534,0.364177380415006,0.635822619584994,""
"H1",19,25,0.583333333333336,39.4166666666667,2,0,-3.97723830232534,0.432488201217137,0.567511798782863,"Josh Jackson made Jumper."
"H1",19,24,0.600000000000001,39.4,2,0,-3.97723830232534,0.432531835069756,0.567468164930244,""
"H1",19,23,0.616666666666667,39.3833333333333,2,0,-3.97723830232534,0.432575485192762,0.567424514807238,""
"H1",19,22,0.633333333333333,39.3666666666667,2,0,-3.97723830232534,0.432619151600248,0.567380848399752,""
"H1",19,21,0.649999999999999,39.35,2,0,-3.97723830232534,0.432662834306324,0.567337165693676,""
"H1",19,20,0.666666666666664,39.3333333333333,2,0,-3.97723830232534,0.432706533325121,0.567293466674879,""
"H1",19,19,0.68333333333333,39.3166666666667,2,0,-3.97723830232534,0.432750248670788,0.567249751329212,""
"H1",19,18,0.700000000000003,39.3,2,0,-3.97723830232534,0.432793980357491,0.567206019642509,"Isaiah Briscoe Offensive Rebound."
"H1",19,17,0.716666666666669,39.2833333333333,2,0,-3.97723830232534,0.432837728399419,0.567162271600581,""
