"minute","second","min_remain","min_played","home","away","away_margin","mean","sd","home_winprob","away_winprob"
40,0,40,0,0,0,0,-15,11.36,0.906653008115468,0.0933469918845323
39,59,39.9833333333333,0.0166666666666657,0,0,0,-14.99375,11.3576330867542,0.906607098224153,0.0933929017758466
39,58,39.9666666666667,0.0333333333333314,0,0,0,-14.9875,11.3552656801445,0.906561162080827,0.0934388379191732
39,57,39.95,0.0499999999999972,0,0,0,-14.98125,11.3528977798622,0.906515199666482,0.0934848003335181
39,56,39.9333333333333,0.06666666666667,0,0,0,-14.975,11.3505293855984,0.906469210962094,0.0935307890379065
39,55,39.9166666666667,0.0833333333333357,0,0,0,-14.96875,11.3481604970439,0.906423195948618,0.0935768040513817
39,54,39.9,0.100000000000001,0,0,0,-14.9625,11.3457911138889,0.906377154606994,0.0936228453930065
39,53,39.8833333333333,0.116666666666667,0,0,0,-14.95625,11.3434212358236,0.906331086918138,0.0936689130818619
39,52,39.8666666666667,0.133333333333333,0,0,0,-14.95,11.3410508625377,0.906284992862951,0.0937150071370485
39,51,39.85,0.149999999999999,0,0,0,-14.94375,11.3386799937206,0.906238872422315,0.0937611275776853
39,50,39.8333333333333,0.166666666666664,0,0,0,-14.9375,11.3363086290615,0.90619272557709,0.0938072744229104
39,49,39.8166666666667,0.18333333333333,0,0,0,-14.93125,11.333936768249,0.906146552308119,0.0938534476918806
39,48,39.8,0.200000000000003,0,0,0,-14.925,11.3315644109717,0.906100352596228,0.0938996474037722
39,47,39.7833333333333,0.216666666666669,0,0,0,-14.91875,11.3291915569176,0.90605412642222,0.0939458735777798
39,46,39.7666666666667,0.233333333333334,0,0,0,-14.9125,11.3268182057746,0.906007873766882,0.0939921262331178
39,45,39.75,0.25,0,0,0,-14.90625,11.3244443572301,0.905961594610981,0.0940384053890191
39,44,39.7333333333333,0.266666666666666,0,0,0,-14.9,11.3220700109712,0.905915288935264,0.0940847110647358
39,43,39.7166666666667,0.283333333333331,2,0,-2,-14.9079166666667,11.3196951666848,0.906078883338166,0.0939211166618341
39,42,39.7,0.299999999999997,2,0,-2,-14.9025,11.3173198240573,0.906044989836191,0.0939550101638088
39,41,39.6833333333333,0.31666666666667,2,0,-2,-14.8970833333333,11.3149439827749,0.906011082802333,0.0939889171976673
39,40,39.6666666666667,0.333333333333336,2,0,-2,-14.8916666666667,11.3125676425234,0.905977162230781,0.0940228377692195
39,39,39.65,0.350000000000001,2,0,-2,-14.88625,11.3101908029882,0.905943228115723,0.094056771884277
39,38,39.6333333333333,0.366666666666667,2,0,-2,-14.8808333333333,11.3078134638547,0.905909280451347,0.0940907195486528
39,37,39.6166666666667,0.383333333333333,2,0,-2,-14.8754166666667,11.3054356248075,0.905875319231838,0.0941246807681619
39,36,39.6,0.399999999999999,2,0,-2,-14.87,11.3030572855312,0.905841344451379,0.0941586555486207
39,35,39.5833333333333,0.416666666666664,2,0,-2,-14.8645833333333,11.3006784457099,0.905807356104153,0.094192643895847
39,34,39.5666666666667,0.43333333333333,2,0,-2,-14.8591666666667,11.2982991050276,0.905773354184339,0.0942266458156605
39,33,39.55,0.450000000000003,2,0,-2,-14.85375,11.2959192631676,0.905739338686118,0.0942606613138824
39,32,39.5333333333333,0.466666666666669,2,0,-2,-14.8483333333333,11.2935389198131,0.905705309603664,0.0942946903963355
39,31,39.5166666666667,0.483333333333334,2,0,-2,-14.8429166666667,11.291158074647,0.905671266931156,0.0943287330688442
39,30,39.5,0.5,2,0,-2,-14.8375,11.2887767273518,0.905637210662766,0.0943627893372343
39,29,39.4833333333333,0.516666666666666,2,0,-2,-14.8320833333333,11.2863948776096,0.905603140792667,0.0943968592073332
39,28,39.4666666666667,0.533333333333331,2,0,-2,-14.8266666666667,11.2840125251023,0.90556905731503,0.0944309426849703
39,27,39.45,0.549999999999997,2,0,-2,-14.82125,11.2816296695114,0.905534960224024,0.0944650397759762
39,26,39.4333333333333,0.56666666666667,2,0,-2,-14.8158333333333,11.279246310518,0.905500849513817,0.094499150486183
39,25,39.4166666666667,0.583333333333336,2,0,-2,-14.8104166666667,11.2768624478029,0.905466725178576,0.0945332748214245
39,24,39.4,0.600000000000001,2,0,-2,-14.805,11.2744780810466,0.905432587212464,0.0945674127875361
39,23,39.3833333333333,0.616666666666667,2,0,-2,-14.7995833333333,11.2720932099293,0.905398435609645,0.0946015643903547
39,22,39.3666666666667,0.633333333333333,2,0,-2,-14.7941666666667,11.2697078341307,0.905364270364281,0.0946357296357188
39,21,39.35,0.649999999999999,2,0,-2,-14.78875,11.2673219533303,0.905330091470532,0.0946699085294683
39,20,39.3333333333333,0.666666666666664,2,0,-2,-14.7833333333333,11.2649355672074,0.905295898922555,0.0947041010774449
39,19,39.3166666666667,0.68333333333333,2,0,-2,-14.7779166666667,11.2625486754405,0.905261692714509,0.0947383072854914
39,18,39.3,0.700000000000003,2,0,-2,-14.7725,11.2601612777082,0.905227472840547,0.0947725271594527
39,17,39.2833333333333,0.716666666666669,2,0,-2,-14.7670833333333,11.2577733736887,0.905193239294825,0.0948067607051748
39,16,39.2666666666667,0.733333333333334,2,0,-2,-14.7616666666667,11.2553849630595,0.905158992071495,0.0948410079285054
39,15,39.25,0.75,2,0,-2,-14.75625,11.2529960454983,0.905124731164706,0.0948752688352936
39,14,39.2333333333333,0.766666666666666,2,0,-2,-14.7508333333333,11.250606620682,0.90509045656861,0.0949095434313902
39,13,39.2166666666667,0.783333333333331,2,0,-2,-14.7454166666667,11.2482166882874,0.905056168277352,0.0949438317226475
